"community","landscape","replica","aphid","recovery","landscape_patches","landscape_type"
"1A","1C","1","BB",3713.19423139687,"1","central"
"1A","1C","2","BB",2090.92394355792,"1","central"
"1A","1C","3","BB",1418.34666174541,"1","central"
"1A","1C","4","BB",2588.0733974359,"1","central"
"1A","1C","5","BB",2580.43543531543,"1","central"
"1A","1P","1","BB",4950.9026828342,"1","peripheral"
"1A","1P","2","BB",765.989583333333,"1","peripheral"
"1A","1P","3","BB",4971.80771433246,"1","peripheral"
"1A","1P","4","BB",770.093942426108,"1","peripheral"
"1A","1P","5","BB",4259.45664747807,"1","peripheral"
"1A","4C","1","BB",11912.3995162709,"4","central"
"1A","4C","2","BB",13398.6970670804,"4","central"
"1A","4C","3","BB",10971.9263724847,"4","central"
"1A","4C","4","BB",5997.52737582102,"4","central"
"1A","4C","5","BB",5777.92294337607,"4","central"
"1A","4P","1","BB",12775.3825170405,"4","peripheral"
"1A","4P","2","BB",6932.93258717494,"4","peripheral"
"1A","4P","3","BB",11958.5711668854,"4","peripheral"
"1A","4P","4","BB",9533.29147424056,"4","peripheral"
"1A","4P","5","BB",8734.48412893701,"4","peripheral"
"2A","1C","1","BB",1837.91564973615,"1","central"
"2A","1C","1","LE",12675.1757640721,"1","central"
"2A","1C","2","BB",1503.79422971491,"1","central"
"2A","1C","2","LE",12117.4593612939,"1","central"
"2A","1C","3","BB",1045.36549154804,"1","central"
"2A","1C","3","LE",12201.9395944543,"1","central"
"2A","1C","4","BB",1358.07262959318,"1","central"
"2A","1C","4","LE",11569.7357283465,"1","central"
"2A","1C","5","BB",1797.9514781491,"1","central"
"2A","1C","5","LE",11920.4000241003,"1","central"
"2A","1P","1","BB",2137.546875,"1","peripheral"
"2A","1P","1","LE",5999.75466008772,"1","peripheral"
"2A","1P","2","BB",3831.18517607174,"1","peripheral"
"2A","1P","2","LE",9251.55451662292,"1","peripheral"
"2A","1P","3","BB",1218.1151188946,"1","peripheral"
"2A","1P","3","LE",5594.38263174807,"1","peripheral"
"2A","1P","4","BB",1820.12520424837,"1","peripheral"
"2A","1P","4","LE",4122.14859068628,"1","peripheral"
"2A","1P","5","BB",1030.17234482388,"1","peripheral"
"2A","1P","5","LE",6450.03704896907,"1","peripheral"
"2A","4C","1","BB",4434.82099780702,"4","central"
"2A","4C","1","LE",13375.8429961623,"4","central"
"2A","4C","2","BB",3686.30903686736,"4","central"
"2A","4C","2","LE",27271.1965804974,"4","central"
"2A","4C","3","BB",4591.71140491453,"4","central"
"2A","4C","3","LE",20585.7034588675,"4","central"
"2A","4C","4","BB",3282.29057591623,"4","central"
"2A","4C","4","LE",21349.8713187173,"4","central"
"2A","4C","5","BB",4489.3478675829,"4","central"
"2A","4C","5","LE",14974.4695953316,"4","central"
"2A","4P","1","BB",4963.09882127193,"4","peripheral"
"2A","4P","1","LE",17502.3746573465,"4","peripheral"
"2A","4P","2","BB",7637.9405347769,"4","peripheral"
"2A","4P","2","LE",18252.0307168635,"4","peripheral"
"2A","4P","3","BB",1929.21853127734,"4","peripheral"
"2A","4P","3","LE",16688.5503062117,"4","peripheral"
"2A","4P","4","BB",3667.9577457265,"4","peripheral"
"2A","4P","4","LE",28022.7522702991,"4","peripheral"
"2A","4P","5","BB",4734.27604166667,"4","peripheral"
"2A","4P","5","LE",20109.5885416667,"4","peripheral"
"2A-1P","1C","1","BB",938.059301181102,"1","central"
"2A-1P","1C","1","LE",3588.18413713911,"1","central"
"2A-1P","1C","2","BB",292.094611942488,"1","central"
"2A-1P","1C","2","LE",173.19443221831,"1","central"
"2A-1P","1C","3","BB",411.244791666667,"1","central"
"2A-1P","1C","3","LE",270.085376602564,"1","central"
"2A-1P","1C","4","BB",1210.5835375817,"1","central"
"2A-1P","1C","4","LE",5136.72732843138,"1","central"
"2A-1P","1C","5","BB",701.613687551188,"1","central"
"2A-1P","1C","5","LE",2678.07249436937,"1","central"
"2A-1P","1C","6","BB",184.851500984252,"1","central"
"2A-1P","1C","6","LE",7092.98623414261,"1","central"
"2A-1P","1P","1","BB",758.882737314086,"1","peripheral"
"2A-1P","1P","1","LE",2299.75565944882,"1","peripheral"
"2A-1P","1P","2","BB",354.427796052632,"1","peripheral"
"2A-1P","1P","2","LE",5692.38695175439,"1","peripheral"
"2A-1P","1P","3","BB",1636.41870551601,"1","peripheral"
"2A-1P","1P","3","LE",6155.98810053381,"1","peripheral"
"2A-1P","1P","4","BB",1023.01228632479,"1","peripheral"
"2A-1P","1P","4","LE",2916.2094017094,"1","peripheral"
"2A-1P","1P","5","BB",977.97860498366,"1","peripheral"
"2A-1P","1P","5","LE",3680.26828022876,"1","peripheral"
"2A-1P","1P","6","BB",133.11126148294,"1","peripheral"
"2A-1P","1P","6","LE",5853.61295658355,"1","peripheral"
"2A-1P","4C","1","BB",3198.42100010936,"4","central"
"2A-1P","4C","1","LE",13381.8362997594,"4","central"
"2A-1P","4C","2","BB",2575.68344703639,"4","central"
"2A-1P","4C","2","LE",6762.85576217723,"4","central"
"2A-1P","4C","3","BB",1528.24718418728,"4","central"
"2A-1P","4C","3","LE",6019.53136042403,"4","central"
"2A-1P","4C","4","BB",3280.19990808824,"4","central"
"2A-1P","4C","4","LE",15225.0172206904,"4","central"
"2A-1P","4C","5","BB",3006.30613994677,"4","central"
"2A-1P","4C","5","LE",5267.08102989353,"4","central"
"2A-1P","4P","1","BB",2709.67490405702,"4","peripheral"
"2A-1P","4P","1","LE",10000.7952302632,"4","peripheral"
"2A-1P","4P","2","BB",1218.53491784038,"4","peripheral"
"2A-1P","4P","2","LE",17289.3029269366,"4","peripheral"
"2A-1P","4P","3","BB",2460.09194640754,"4","peripheral"
"2A-1P","4P","3","LE",7330.77801089517,"4","peripheral"
"2A-1P","4P","4","BB",2845.31862745098,"4","peripheral"
"2A-1P","4P","4","LE",17354.2483660131,"4","peripheral"
"2A-1P","4P","5","BB",3769.55116195741,"4","peripheral"
"2A-1P","4P","5","LE",10769.7513052826,"4","peripheral"
